File,ObjName,ObsDate,Setting,WavMin,WavMax,Chip,Slope
flx_J0120+2133_n1_b_01.fits,J0120+2133,2012-12-02T04:42:24.126,476.33,408.10,534.89,b,0
flx_J0120+2133_n1_b_02.fits,J0120+2133,2012-12-02T05:39:27.750,476.33,408.10,534.89,b,0
flx_J0120+2133_n1_b_03.fits,J0120+2133,2012-12-02T07:29:42.417,476.33,408.10,534.89,b,0
flx_J0120+2133_n1_r_01.fits,J0120+2133,2012-12-02T04:42:24.126,613.83,553.04,673.12,r,0
flx_J0120+2133_n1_r_02.fits,J0120+2133,2012-12-02T05:39:27.750,613.83,553.04,673.12,r,0
flx_J0120+2133_n1_r_03.fits,J0120+2133,2012-12-02T07:29:42.417,613.83,553.04,673.12,r,0
flx_J0120+2133_n1_b_01.fits,J0120+2133,2014-08-13T10:59:10.348,476.33,408.10,534.89,b,0
flx_J0120+2133_n1_r_01.fits,J0120+2133,2014-08-13T10:59:10.348,613.83,553.04,673.12,r,0
flx_J0120+2133_n2_b_01.fits,J0120+2133,2014-08-14T12:36:50.148,476.33,408.10,534.89,b,0
flx_J0120+2133_n2_b_02.fits,J0120+2133,2014-08-14T13:41:54.802,476.33,408.10,534.89,b,0
flx_J0120+2133_n2_r_01.fits,J0120+2133,2014-08-14T12:36:50.148,613.83,553.04,673.12,r,0
flx_J0120+2133_n2_r_02.fits,J0120+2133,2014-08-14T13:41:54.802,613.83,553.04,673.12,r,0
flx_J0120+2133_n3_b_01.fits,J0120+2133,2014-08-15T13:32:27.012,476.33,408.10,534.89,b,0
flx_J0120+2133_n3_r_01.fits,J0120+2133,2014-08-15T13:32:27.012,613.83,553.04,673.12,r,0
flx_J1944+7705_n1_b_01.fits,J1944+7705,2014-08-13T08:35:31.923,484.08,416.73,544.62,b,0
flx_J1944+7705_n1_b_02.fits,J1944+7705,2014-08-13T09:48:08.427,484.08,416.73,544.62,b,0
flx_J1944+7705_n1_r_01.fits,J1944+7705,2014-08-13T08:35:31.923,626.75,563.57,680.77,r,0
flx_J1944+7705_n1_r_02.fits,J1944+7705,2014-08-13T09:48:08.427,626.75,563.57,680.77,r,0
flx_J1944+7705_n3_b_01.fits,J1944+7705,2014-08-15T07:30:34.727,484.08,416.73,544.62,b,0
flx_J1944+7705_n3_r_01.fits,J1944+7705,2014-08-15T07:30:34.727,626.75,563.57,680.77,r,0
flx_Ceres_n1_b_01.fits,Ceres,2012-12-02T10:27:21.890,476.33,408.10,534.89,b,181.55
flx_Ceres_n1_r_01.fits,Ceres,2012-12-02T10:27:21.890,613.83,553.04,673.12,r,79.29
flx_Vesta_n1_b_01.fits,Vesta,2012-12-02T10:50:45.404,476.33,408.10,534.89,b,292.15
flx_Vesta_n1_b_02.fits,Vesta,2012-12-02T10:53:51.831,476.33,408.10,534.89,b,176.78
flx_Vesta_n1_r_01.fits,Vesta,2012-12-02T10:50:45.404,613.83,553.04,673.12,r,173.12
flx_Vesta_n1_r_02.fits,Vesta,2012-12-02T10:53:51.831,613.83,553.04,673.12,r,174.55
flx_HD9100_n1_b_01.fits,HD9100,2012-12-02T06:40:44.903,476.33,408.10,534.89,b,519.03
flx_HD9100_n1_b_03.fits,HD9100,2012-12-02T08:57:08.418,476.33,408.10,534.89,b,167.59
flx_HD9100_n1_b_04.fits,HD9100,2012-12-02T09:03:47.264,476.33,408.10,534.89,b,285.4
flx_HD9100_n1_r_01.fits,HD9100,2012-12-02T06:40:44.903,613.83,553.04,673.12,r,-121.69
flx_HD9100_n1_r_03.fits,HD9100,2012-12-02T08:57:08.418,613.83,553.04,673.12,r,15.68
flx_HD9100_n1_r_04.fits,HD9100,2012-12-02T09:03:47.264,613.83,553.04,673.12,r,236.41
flx_HD005294_n1_b_01.fits,HD005294,2014-08-13T11:57:27.484,476.33,408.10,534.89,b,76.53
flx_HD005294_n1_r_01.fits,HD005294,2014-08-13T11:57:27.484,613.83,553.04,673.12,r,76.82
flx_HD005294_n2_b_01.fits,HD005294,2014-08-14T13:36:27.181,476.33,408.10,534.89,b,82.36
flx_HD005294_n2_b_02.fits,HD005294,2014-08-14T14:40:04.471,476.33,408.10,534.89,b,93.77
flx_HD005294_n2_r_01.fits,HD005294,2014-08-14T13:36:27.181,613.83,553.04,673.12,r,71.04
flx_HD005294_n2_r_02.fits,HD005294,2014-08-14T14:40:04.471,613.83,553.04,673.12,r,100.85
flx_HD005294_n3_b_01.fits,HD005294,2014-08-15T14:31:13.589,476.33,408.10,534.89,b,206.19
flx_HD005294_n3_r_01.fits,HD005294,2014-08-15T14:31:13.589,613.83,553.04,673.12,r,61.13
flx_HD197027_n1_b_01.fits,HD197027,2014-08-13T09:38:47.279,484.08,416.73,544.62,b,183.01
flx_HD197027_n1_b_02.fits,HD197027,2014-08-13T10:52:31.141,484.08,416.73,544.62,b,208.73
flx_HD197027_n1_r_01.fits,HD197027,2014-08-13T09:38:47.279,626.75,563.57,680.77,r,97.3
flx_HD197027_n1_r_02.fits,HD197027,2014-08-13T10:52:31.141,626.75,563.57,680.77,r,62.69
flx_HD197027_n3_b_01.fits,HD197027,2014-08-15T08:36:02.849,484.08,416.73,544.62,b,44.2
flx_HD197027_n3_r_01.fits,HD197027,2014-08-15T08:36:02.849,626.75,563.57,680.77,r,13.89
